"application","created_at","status","line_of_credit","annual_percentage_rate","is_fraud","address_type","line_1","line_2","city","state","zipcode","county","country","phone","phone_type","name","card","product","email","party","dob","account","id","id_type","ip","device"
"7da7048b-16f3-46f0-bdf4-a1ddd5c8005a","2024-04-12 15:58:49.980473","PENDING","3599.22","23.55","False","mailing","188 RIVER ROAD","","ESSEX","VT","05452","ADDISON COUNTY","US","1532780372","landline","VIVIAN ANDERSON","7598109925079026","51a36ad8-96fa-41fc-a2f1-6e0e39a126c9","VIVIAN.ANDERSON@EMAIL.COM","d0ab8251-4bc0-40e6-a16a-244533a85670","1983-05-18","e5a1054b-f8bd-488a-8bd9-26a5ced2e9e8","483be36d-70f2-4330-bfc6-342814406d25","DRIVER'S LICENSE","192.169.1.1","fde27c5f-62ee-4d30-90fa-d923ed6b985e"
"ca70d7fc-ae8e-47fe-81da-24039c720a90","2024-04-12 15:58:49.991268","APPROVED","1542.47","27.01","False","mailing","134 BUTTERNUT ROAD","","MANCHESTER","CT","06040","FAIRFIELD COUNTY","US","3612134528","mobile","VIVIAN SMITH","9488066475543780","319ef693-0e13-412e-94f3-a3e442a7380b","VIVIAN.SMITH@EMAIL.COM","660e2936-8f20-44a6-9795-902c4081418b","1983-05-15","f76024c3-9e5b-4355-a688-496d3929b85a","bffc4f2e-e0aa-4e78-af88-59739e59e255","PASSPORT","192.168.1.1","7e880556-1fab-420c-9a43-6b7b826caab2"
"7246f35a-62c4-4ecf-926f-1894d4d154ee","2024-04-12 15:58:49.991375","PENDING","219.65","17.11","False","primary","3203 US HIGHWAY 98","A","MEXICO BEACH","FL","32456","LIBERTY COUNTY","US","2866083921","landline","BIANCA SMITH","1819454083867435","51a36ad8-96fa-41fc-a2f1-6e0e39a126c9","BIANCA.SMITH@EMAIL.COM","b2f2fd17-7e01-4f00-9806-01255fcc6d6e","1983-05-17","c7d472be-43f8-41c2-9f33-4f0a89237a75","15192836-2b22-4c15-a8ad-994c91e5105a","PASSPORT","192.161.1.1","7acea4e8-e07d-4845-a83f-7bde07b5da0d"
"3d45cc76-a82e-45a5-8d53-64770e13962a","2024-04-12 15:58:50.003887","DISAPPROVE","8167.32","22.7","True","mailing","2902 FLINT STREET","","UNION CITY","CA","94587","ALAMEDA COUNTY","US","7977313723","landline","BIANCA BROWN","1065636621294976","84ed831d-70d0-4f13-8702-52f95e054d51","BIANCA.BROWN@EMAIL.COM","b8b233c4-5bc9-44ab-b14e-eab2eeaed915","1983-05-15","ea04d210-80ad-4ecf-8954-0f67bb24bef9","8bd2f7e9-df96-4c4d-b4a9-0b59a5153c54","DRIVER'S LICENSE","192.165.1.1","e6a2a55e-bf49-49f9-be99-cdd70caef517"
"211fdd7d-c9c9-44ce-b4b5-31d587afb171","2024-04-12 15:58:50.014348","APPROVED","8473.27","25.27","False","primary","112 CHEROKEE ROAD","","NASHVILLE","TN","37205","ANDERSON COUNTY","US","1349158685","landline","HAN BROWN","8237769772731210","51a36ad8-96fa-41fc-a2f1-6e0e39a126c9","HAN.BROWN@EMAIL.COM","c46add64-c18e-4d0f-b539-e1fcfce9832c","1983-05-19","22a59724-39ff-460e-a0d7-950ae91924ea","7c872b1f-322d-47ea-8857-b0803f9ac4f2","DRIVER'S LICENSE","192.161.1.1","e0b1c70a-7470-4cdf-b464-c24a5ac42ddd"
"b3e4f54e-42db-41d7-ac2c-75f235634e3f","2024-04-12 15:58:50.023921","PENDING","6730.09","1.05","False","primary","5814 CARRIAGE BROOK ROAD","","MONTGOMERY","AL","36116","AUTAUGA COUNTY","US","0008780931","landline","GABRIEL ANDERSON","0750144826645892","51a36ad8-96fa-41fc-a2f1-6e0e39a126c9","GABRIEL.ANDERSON@EMAIL.COM","91cf17f6-920a-4199-b290-2923ac200527","1983-05-12","9f2734e0-981b-4f8a-a191-00ee3a7a9e8d","52e31f1a-236d-4845-8b91-266cbceff7ef","SOCIAL SECURITY NUMBER","192.169.1.1","873adcc3-8291-4061-a7ab-49e97cd3d275"
"04c97c06-53c2-419e-ac82-22996d678aa9","2024-04-12 15:58:50.033842","DISAPPROVE","6926.02","34.26","True","mailing","1478 SHARPS POINT ROAD","","ANNAPOLIS","MD","21409","ALLEGANY COUNTY","US","7598510129","landline","JOHN MILLER","2190931905004401","84ed831d-70d0-4f13-8702-52f95e054d51","JOHN.MILLER@EMAIL.COM","7977dcc2-19b9-410f-b70b-804d0cb6a3c9","1983-05-15","eaa3952a-bd20-48d8-ba62-7e5e8321b68c","f3e70b07-aea4-428a-9f09-597c651034a6","PASSPORT","192.165.1.1","f963a943-8386-442a-b38a-fedd2ba5e933"
"1e8ff074-483b-4260-bc3b-6b1f978f607d","2024-04-12 15:58:50.043782","PENDING","4549.82","7.89","False","mailing","1427 H STREET","","ANCHORAGE","AK","99501","ALEUTIANS EAST BOROUGH","US","3906019607","landline","GABRIEL MILLER","0502306813145545","319ef693-0e13-412e-94f3-a3e442a7380b","GABRIEL.MILLER@EMAIL.COM","9f5d31a5-e3bc-4125-b8b6-047450202281","1983-05-19","f8ec79a6-f7de-4446-b1b6-dae437650458","f8299f23-d053-406a-b5c3-56ca7686cd1b","SOCIAL SECURITY NUMBER","192.168.1.1","94c87c9b-41de-4cac-a851-de7efb4384b0"
"8b2e6e06-cc72-48c5-8016-816fc4a34ce0","2024-04-12 15:58:50.053809","DISAPPROVE","5701.43","8.96","True","mailing","108 SPRINGER LANE","","YARMOUTH","MA","02673","BARNSTABLE COUNTY","US","2167871949","landline","BIANCA JOHNSON","7850051851137588","8a782dbd-4149-42ad-944e-e675d3bf1dc7","BIANCA.JOHNSON@EMAIL.COM","614128d1-a179-41df-9a69-aff74ba68771","1983-05-15","02cafbbe-084a-4d68-bad2-83d53f039164","f8299f23-d053-406a-b5c3-56ca7686cd1b","SOCIAL SECURITY NUMBER","192.162.1.1","4516798b-26d6-43f7-8247-c2467d886c69"
"5a42a999-b8a3-4b8e-a8ee-69c8516112c7","2024-04-12 15:58:50.065190","PENDING","1134.06","14.2","False","primary","6412 LENAWEE STREET","","PANAMA CITY","FL","32404","LIBERTY COUNTY","US","9759923017","mobile","JOHN MILLER","4750125205631010","84ed831d-70d0-4f13-8702-52f95e054d51","JOHN.MILLER@EMAIL.COM","91adf62d-ac75-45aa-bc5d-b4750e30e2b3","1983-05-16","ea23dbdc-7866-451d-aa3d-44dc6f1ef163","c81b27af-aabf-4a00-8488-034918943172","SOCIAL SECURITY NUMBER","192.167.1.1","486e4ba8-e276-4697-9692-5885d766447d"
"9a1d8015-92fc-45fb-81d3-0a700a4a1a31","2024-04-12 15:58:50.074994","APPROVED","6640.14","12.87","False","mailing","4 OLD COLONY WAY","","YARMOUTH","MA","02664","BARNSTABLE COUNTY","US","8673213403","landline","LEAH SMITH","0609635529994352","319ef693-0e13-412e-94f3-a3e442a7380b","LEAH.SMITH@EMAIL.COM","f8a37e06-efa6-4e27-8836-48ad08db64c3","1983-05-10","aac5828e-f3ba-4883-8df5-5bae43eb02f5","f12f1158-66b5-4f91-9e12-92d356508476","DRIVER'S LICENSE","192.161.1.1","4f487277-ecbe-4f0a-888a-4db749ea4104"
"9dc85f44-027a-4bf0-bfe4-d84210d3ba5d","2024-04-12 15:58:50.084536","APPROVED","3152.11","19.82","False","primary","901 NORTH LINCOLN BOULEVARD","","OKLAHOMA CITY","OK","73104","ADAIR COUNTY","US","4594942721","landline","HAN SMITH","1741508057408757","319ef693-0e13-412e-94f3-a3e442a7380b","HAN.SMITH@EMAIL.COM","b9c28b36-1b6f-431e-b757-93a3e576af67","1983-05-14","a87445f7-c6f4-4c41-9990-8ea2664d0181","57ddc2c9-35c9-4608-be35-f5442eceef26","PASSPORT","192.169.1.1","554c670b-0da2-4c31-adac-636ea05b93a8"
"5a3770de-8898-4cd4-9607-222f4ed73d05","2024-04-12 15:58:50.094125","PENDING","6586.75","19.25","False","primary","6315 NORTH ORO VISTA COURT","","LITCHFIELD PARK","AZ","85340","APACHE COUNTY","US","5330200925","landline","BIANCA ANDERSON","1128514523183001","6835b33e-dd55-499d-a551-e6c4da8fa7b9","BIANCA.ANDERSON@EMAIL.COM","82823b60-2a20-495e-b371-d6a23f14e85b","1983-05-12","9f2734e0-981b-4f8a-a191-00ee3a7a9e8d","7e0bb3bb-652f-47b5-9033-ace9d5331fb5","SOCIAL SECURITY NUMBER","192.168.1.1","41c67d5d-516c-4b1c-ad73-efd19f94caec"
"e285352f-1b55-4871-a294-9863790165ae","2024-04-12 15:58:50.103936","DISAPPROVE","712.68","1.7","True","primary","449 SARATOGA LANE","","MONTGOMERY","AL","36117","AUTAUGA COUNTY","US","1177622262","mobile","HAN ANDERSON","2616517690530287","8a782dbd-4149-42ad-944e-e675d3bf1dc7","HAN.ANDERSON@EMAIL.COM","1576691e-4d37-4e44-8cd3-2f2a92aec6fa","1983-05-20","921e89d8-ad74-4a86-bbe7-5ed3a36a941b","2bd22082-9513-47db-b652-c6669af961d0","DRIVER'S LICENSE","192.167.1.1","92d843dd-4426-4999-8f14-89f2700a8162"
"4925abd8-fbcd-421d-aa2f-311e6c75e9c2","2024-04-12 15:58:50.113118","DISAPPROVE","3496.37","2.83","True","primary","711 TASHANNA LANE","","SOUTHPORT","FL","32409","LIBERTY COUNTY","US","1177622262","mobile","BIANCA BROWN","9677007828051603","319ef693-0e13-412e-94f3-a3e442a7380b","BIANCA.BROWN@EMAIL.COM","46ec64dc-9326-4b34-a3d1-fd839f839a20","1983-05-17","9f2734e0-981b-4f8a-a191-00ee3a7a9e8d","3f1158b2-154c-491b-bbe5-576d17a4bb02","PASSPORT","192.165.1.1","43b7a13b-7947-44ec-8ae0-01b74137d383"
"e50c0415-13ec-4862-ac16-01915e33e88c","2024-04-12 15:58:50.123133","DISAPPROVE","8070.19","25.98","True","mailing","4600 EAST HUNTSVILLE ROAD","","FAYETTEVILLE","AR","72701","ARKANSAS COUNTY","US","9018480262","landline","EMILY ANDERSON","8700164243911500","8a782dbd-4149-42ad-944e-e675d3bf1dc7","EMILY.ANDERSON@EMAIL.COM","b2f2fd17-7e01-4f00-9806-01255fcc6d6e","1983-05-12","9f2734e0-981b-4f8a-a191-00ee3a7a9e8d","ca8935d9-5c95-4198-92c0-d415f522cded","DRIVER'S LICENSE","192.169.1.1","94c87c9b-41de-4cac-a851-de7efb4384b0"
"91f3cd57-9610-4963-b9a9-2354eab92887","2024-04-12 15:58:50.123307","DISAPPROVE","8688.81","1.68","True","primary","3203 US HIGHWAY 98","A","MEXICO BEACH","FL","32456","LIBERTY COUNTY","US","0565095348","mobile","HEIDI MILLER","2342982322978786","319ef693-0e13-412e-94f3-a3e442a7380b","HEIDI.MILLER@EMAIL.COM","d79eb6e9-ddbe-42eb-98da-d28ffcbaf36f","1983-05-19","0384fd7a-1dad-4324-832e-b10a75a31717","194fea30-304c-4a7d-914e-8d3bd3411bce","SOCIAL SECURITY NUMBER","192.168.1.1","41c67d5d-516c-4b1c-ad73-efd19f94caec"
"585d744e-710b-4a93-b255-42f1caaa3f2b","2024-04-12 15:58:50.123387","DISAPPROVE","7448.99","19.16","True","mailing","3203 US HIGHWAY 98","A","MEXICO BEACH","FL","32456","LIBERTY COUNTY","US","9810315980","landline","SAM ANDERSON","8438378396403813","6835b33e-dd55-499d-a551-e6c4da8fa7b9","SAM.ANDERSON@EMAIL.COM","91adf62d-ac75-45aa-bc5d-b4750e30e2b3","1983-05-13","27c8a3cc-19c4-49b3-a205-acd3889158f5","68931aca-dbab-4223-8ca9-42dadab25154","DRIVER'S LICENSE","192.165.1.1","e4a9eb23-0f1d-4fa0-922b-e3c011b8c1d3"
"5bf5405c-6898-4d2f-9faa-60a7b86bd6e7","2024-04-12 15:58:50.132494","APPROVED","4390.49","37.68","False","primary","3100 DON JUAN COURT","","MONTGOMERY","AL","36110","AUTAUGA COUNTY","US","6197697526","landline","LEAH JOHNSON","6881493766737327","84ed831d-70d0-4f13-8702-52f95e054d51","LEAH.JOHNSON@EMAIL.COM","a8cbfb24-d498-46eb-9fa2-3a0eaaf495e3","1983-05-14","069c255a-e3eb-4afd-bd51-3bf74b299791","07e9c76a-7287-4e06-941a-6af83e2d8358","PASSPORT","192.167.1.1","e4a9eb23-0f1d-4fa0-922b-e3c011b8c1d3"
"8c05be0e-a90d-4497-851a-c3702d7d7692","2024-04-12 15:58:50.132595","DISAPPROVE","7307.73","36.9","True","primary","3203 US HIGHWAY 98","A","MEXICO BEACH","FL","32456","LIBERTY COUNTY","US","8244064914","mobile","BIANCA BROWN","7296706025948760","84ed831d-70d0-4f13-8702-52f95e054d51","BIANCA.BROWN@EMAIL.COM","660e2936-8f20-44a6-9795-902c4081418b","1983-05-11","031d205b-9624-4c22-bec0-3448ee7e4f76","87be2da6-9c0a-4331-87b0-791530bda1c9","DRIVER'S LICENSE","192.165.1.1","3746767f-b669-4bb7-8f49-cbe53bcf903f"
"4d5ded9c-3f28-4294-9b4b-68e66723c8a7","2024-04-12 15:58:50.141450","DISAPPROVE","5949.59","11.11","True","primary","12 SAINT ANDREWS CROSSOVER","","SEVERNA PARK","MD","21146","ALLEGANY COUNTY","US","7807623059","mobile","VIVIAN MILLER","2335220775347509","51a36ad8-96fa-41fc-a2f1-6e0e39a126c9","VIVIAN.MILLER@EMAIL.COM","ddbd15f0-e5e4-43a0-864b-a925fb974a57","1983-05-16","41c954a6-3fca-4bd0-b1dd-bd5e3adcf79d","d41f4520-5992-41bd-9565-f643385f967d","SOCIAL SECURITY NUMBER","192.161.1.1","e4a9eb23-0f1d-4fa0-922b-e3c011b8c1d3"
"f6bc8719-f7f7-470f-9061-36f0153994bd","2024-04-12 15:58:50.150696","DISAPPROVE","2847.58","28.95","True","primary","5644 KIPLING PARKWAY","#108","ARVADA","CO","80002","ADAMS COUNTY","US","4247145051","mobile","JOHN JOHNSON","9161816072088584","8a782dbd-4149-42ad-944e-e675d3bf1dc7","JOHN.JOHNSON@EMAIL.COM","3f219dd5-fa4b-4df0-96ea-460883a6440a","1983-05-12","990fb557-307e-4d4f-8122-fe4c68aa0188","07e9c76a-7287-4e06-941a-6af83e2d8358","PASSPORT","192.169.1.1","e4a9eb23-0f1d-4fa0-922b-e3c011b8c1d3"
"ee1f5b5e-49f5-41ce-a731-50a5bd69bdec","2024-04-12 15:58:50.160479","APPROVED","1486.97","30.08","False","mailing","110 OXFORD ROAD","","SAVANNAH","GA","31419","APPLING COUNTY","US","0530706581","mobile","BIANCA ANDERSON","2773474556573557","51a36ad8-96fa-41fc-a2f1-6e0e39a126c9","BIANCA.ANDERSON@EMAIL.COM","20b5430d-ea89-4485-abd9-996c38a2891a","1983-05-17","c6ca687f-57ab-4a2d-a688-c961eeead331","effb695a-e3fd-4fc5-8970-ba61512a087c","SOCIAL SECURITY NUMBER","192.161.1.1","57096f77-4818-4400-8536-fd3711814fb7"
"5ee0a372-fc1d-4b81-b688-7ed244831511","2024-04-12 15:58:50.171018","APPROVED","3297.03","28.14","False","primary","622 ELAINE DRIVE","","NASHVILLE","TN","37211","ANDERSON COUNTY","US","3561693262","landline","HEIDI JOHNSON","8268190730923855","51a36ad8-96fa-41fc-a2f1-6e0e39a126c9","HEIDI.JOHNSON@EMAIL.COM","91adf62d-ac75-45aa-bc5d-b4750e30e2b3","1983-05-11","112ef022-964c-4530-b552-146dc8dada22","ce461620-eaee-43f5-9583-db260c672cfc","DRIVER'S LICENSE","192.165.1.1","5ea00833-0892-4037-a03e-49a1edc88b10"
"191271d9-e937-4124-a61f-440e544f4256","2024-04-12 15:58:50.181093","APPROVED","3792.5","36.9","False","primary","2409 PARK STREET","","SELMA","CA","93662","ALAMEDA COUNTY","US","6443905665","landline","EMILY ANDERSON","3094298136339555","84ed831d-70d0-4f13-8702-52f95e054d51","EMILY.ANDERSON@EMAIL.COM","f8a37e06-efa6-4e27-8836-48ad08db64c3","1983-05-12","9ee51cd5-0112-4348-866c-0ecca02781a3","e7f17bf6-bdcd-4019-af93-5b02248a2d0f","PASSPORT","192.166.1.1","8381fc15-7aa6-43f9-ab03-928dab907ba0"
"0be21df7-fd14-4226-857a-fe68da90849f","2024-04-12 15:58:50.191337","PENDING","2591.96","17.8","False","primary","803 KAY LANE","","LYNN HAVEN","FL","32444","LIBERTY COUNTY","US","9585419304","mobile","VIVIAN JOHNSON","2335220775347509","8a782dbd-4149-42ad-944e-e675d3bf1dc7","VIVIAN.JOHNSON@EMAIL.COM","dffbd194-babc-4236-b70a-be6ebe82f353","1983-05-15","a553ebba-c5e4-4a1a-95c2-18ee8a803653","2bd22082-9513-47db-b652-c6669af961d0","DRIVER'S LICENSE","192.162.1.1","e4a9eb23-0f1d-4fa0-922b-e3c011b8c1d3"
"ea6456e3-bdf7-40b0-b4cf-07557796dc7e","2024-04-12 15:58:50.201464","DISAPPROVE","6294.19","15.02","True","primary","903 MALLARD CREEK ROAD","","SAINT MATTHEWS","KY","40207","ADAIR COUNTY","US","1177622262","landline","PETER ANDERSON","9894551052322301","84ed831d-70d0-4f13-8702-52f95e054d51","PETER.ANDERSON@EMAIL.COM","84277103-5768-4080-805b-042b3915e651","1983-05-20","ea23dbdc-7866-451d-aa3d-44dc6f1ef163","87be2da6-9c0a-4331-87b0-791530bda1c9","DRIVER'S LICENSE","192.162.1.1","41c67d5d-516c-4b1c-ad73-efd19f94caec"
"1bea114b-54c7-43a1-8128-4790cfb87aeb","2024-04-12 15:58:50.201573","DISAPPROVE","6516.54","26.67","True","primary","3203 US HIGHWAY 98","A","MEXICO BEACH","FL","32456","LIBERTY COUNTY","US","0955331367","mobile","GABRIEL BROWN","7964681302124709","8a782dbd-4149-42ad-944e-e675d3bf1dc7","GABRIEL.BROWN@EMAIL.COM","6c376d08-b0b2-4b9e-bd5b-c73585888454","1983-05-12","9f2734e0-981b-4f8a-a191-00ee3a7a9e8d","8bd2f7e9-df96-4c4d-b4a9-0b59a5153c54","DRIVER'S LICENSE","192.168.1.1","3abbfad1-4080-4203-8584-1f201e519cb5"
"5b8f02a4-61f0-46f7-a376-ec425a2c3f82","2024-04-12 15:58:50.211188","PENDING","4392.34","34.46","False","mailing","78 SCHOOL STREET","","WOBURN","MA","01801","BARNSTABLE COUNTY","US","1177622262","mobile","JOHN BROWN","7108826398827877","6835b33e-dd55-499d-a551-e6c4da8fa7b9","JOHN.BROWN@EMAIL.COM","d510711a-0e5e-4eea-9cb2-aa47d97ee3c0","1983-05-18","d3333b9e-a7b2-43a8-b470-774d04fab2ab","5e8ed0e0-ce6a-4cd5-9ace-bf380525e39e","SOCIAL SECURITY NUMBER","192.166.1.1","d338c0e1-1092-41bb-8f3c-3923082118c1"
"2c33f62f-c784-4c0b-b8a5-db3ab37877ee","2024-04-12 15:58:50.220638","PENDING","299.48","12.63","False","primary","5458 ZEPHYR COURT","","ARVADA","CO","80002","ADAMS COUNTY","US","2762254071","landline","HAN JOHNSON","7916186814279476","51a36ad8-96fa-41fc-a2f1-6e0e39a126c9","HAN.JOHNSON@EMAIL.COM","067283aa-81f5-4b1d-a27e-06b9c96d7ae2","1983-05-13","420f0479-9da0-434d-b3fb-f260d8f9e4b8","d41f4520-5992-41bd-9565-f643385f967d","SOCIAL SECURITY NUMBER","192.162.1.1","ea27a173-6ec9-4295-9890-8f648e171f62"
"435247a3-f376-4412-8022-1f5bd8f92265","2024-04-12 15:58:50.229958","DISAPPROVE","3424.22","7.15","True","primary","194 BUCKLAND HILLS DRIVE","#2010","MANCHESTER","CT","06042","FAIRFIELD COUNTY","US","5883564605","mobile","JOHN MILLER","5818693534905246","319ef693-0e13-412e-94f3-a3e442a7380b","JOHN.MILLER@EMAIL.COM","266fb830-a96f-4d4a-bd3c-ac3938d69b16","1983-05-11","ff71b571-ed6d-4137-9d23-1e867614a74f","dddc746f-8690-44aa-920c-cbd1fe2f06f5","DRIVER'S LICENSE","192.162.1.1","65307027-b08e-481f-938e-b963fd718bdd"
"8f791765-1f73-4a69-8d68-6023ecbaf7de","2024-04-12 15:58:50.239127","APPROVED","6953.45","1.09","False","primary","5065 NORTH 54TH AVENUE","#8","GLENDALE","AZ","85301","APACHE COUNTY","US","8839578622","mobile","EMILY BROWN","2335220775347509","319ef693-0e13-412e-94f3-a3e442a7380b","EMILY.BROWN@EMAIL.COM","c520e348-108a-4c41-8cdf-9c23be255f77","1983-05-17","9f2734e0-981b-4f8a-a191-00ee3a7a9e8d","8ee3b90b-3f55-4843-ad67-040120f496f0","PASSPORT","192.162.1.1","1fe0054c-4a2e-44bb-a21f-e0e678d2f645"
"8bb3cff5-c4ea-461c-8521-90d3142226de","2024-04-12 15:58:50.248363","DISAPPROVE","9742.23","27.65","True","mailing","5370 BUSINESS PARK DRIVE","","MONTGOMERY","AL","36116","AUTAUGA COUNTY","US","2713131199","landline","BIANCA MILLER","5297234288462592","84ed831d-70d0-4f13-8702-52f95e054d51","BIANCA.MILLER@EMAIL.COM","660e2936-8f20-44a6-9795-902c4081418b","1983-05-15","9f2734e0-981b-4f8a-a191-00ee3a7a9e8d","bffc4f2e-e0aa-4e78-af88-59739e59e255","PASSPORT","192.163.1.1","6b9cc531-88af-4acc-ae65-01bf052a9e1d"
